brewery,address,city,state,latitude,longitude,website
(512) Brewing Company,"407 Radam, F200",Austin,Texas,30.2234,-97.7697,http://512brewing.com/
21st Amendment Brewery Cafe,563 Second Street,San Francisco,California,37.7825,-122.393,http://www.21st-amendment.com/
Abbey Wright Brewing/Valley Inn,204 Valley Street,Williamsport,Pennsylvania,41.2225,-77.0369,http://www.valleyinnonline.com/
Aberdeen Brewing,210 Aberdeen Dr.,Valparaiso,Indiana,41.4392,-87.1078,
Abita Brewing Company,PO Box 1510,Abita Springs,Louisiana,30.5049,-89.944,http://www.abita.com/
Aksarben Brewing (BOP),11337 Davenport St.,Omaha,Nebraska,41.2603,-96.0903,
Alameda Brewhouse,4765 NE Fremont,Portland,Oregon,45.5484,-122.619,
Alaskan Brewing,5429 Shaune Drive,Juneau,Alaska,58.3573,-134.49,http://www.alaskanbeer.com/
Ale Asylum,3698 Kinsman Blvd,Madison,Wisconsin,43.1257,-89.3253,http://www.aleasylum.com/
AleSmith Brewing,9368 Cabot Drive,San Diego,California,32.892,-117.144,http://alesmith.com/
Ali`i Brewing,,Honolulu,Hawaii,21.3069,-157.858,
Allagash Brewing,100 Industrial Way,Portland,Maine,43.7028,-70.3166,http://www.allagash.com/
Allentown Brew Works,814 W Hamilton St,Allentown,Pennsylvania,40.6016,-75.474,http://www.thebrewworks.com/allentown-brewworks/
Alltech's Lexington Brewing Company,401 Cross Street,Lexington,Kentucky,38.0501,-84.5088,http://www.kentuckyale.com/kentuckyale/Index.html
Alpine Beer Company,2351 Alpine Boulevard,Alpine,California,32.8355,-116.765,http://www.alpinebeerco.com/
America's Brewing,205 North Broadway,Aurora,Illinois,41.7605,-88.309,
American River Brewing,,Auburn,California,38.8966,-121.077,
Amerisports Brew Pub,8201 NE Birmingham Road,Kansas City,Missouri,39.1551,-94.482,
Amherst Brewing Company,24 North Pleasant Street,Amherst,Massachusetts,42.3763,-72.5199,http://www.amherstbrewing.com/
"Amicas Pizza, Microbrews and More",136 East Second Street,Salida,Colorado,38.535,-105.992,
Anacortes Brewing,320 Commercial Avenue,Anacortes,Washington,48.5193,-122.613,http://www.anacortesrockfish.com/
Anchor Brewing,1705 Mariposa Street,San Francisco,California,37.7635,-122.401,
Anderson Valley Brewing,17700 Boonville Rd,Boonville,California,39.0014,-123.356,http://avbc.com/
Andrew's Brewing,,Lincolnville,Maine,44.3516,-69.1401,
Angelic Brewing,,Madison,Wisconsin,43.0785,-89.382,
Anheuser-Busch,One Busch Place,Saint Louis,Missouri,38.5983,-90.209,http://www.anheuser-busch.com/
Appalachian Brewing Company,50 N. Cameron St.,Harrisburg,Pennsylvania,40.2659,-76.8753,http://www.abcbrew.com
Appleton Brewing,,Appleton,Wisconsin,44.2619,-88.4154,
Arcadia Brewing,103 West Michigan Avenue,Battle Creek,Michigan,42.322,-85.1851,http://www.arcadiaales.com/
Asheville Pizza and Brewing Co.,675 Merrimon Avenue,Asheville,North Carolina,35.6221,-82.5536,http://www.ashevillepizza.com/
Atlanta Brewing Company,2323 Defoor Hills Rd NW,Atlanta,Georgia,33.818,-84.4353,http://www.atlantabrewing.com/
Atlantic Brewing Company,15 Knox Rd.,Bar Harbor,Maine,44.3996,-68.334,http://www.atlanticbrewing.com
Atwater Block Brewing,237 Joseph Campau Street,Detroit,Michigan,42.3372,-83.0186,http://www.atwaterbeer.com
August Schell Brewing,1860 Schell Road,New Ulm,Minnesota,44.2896,-94.449,http://www.schellsbrewery.com/
Augusta Brewing,5221 Water Street,Augusta,Missouri,38.5702,-90.8802,
Avery Brewing Company,5763 Arapahoe Avenue,Boulder,Colorado,40.0166,-105.219,http://www.averybrewing.com/
Back Road Brewery,310 Perry Street,LaPorte,Indiana,41.6124,-86.7268,http://www.backroadbrewery.com/
Backcountry Brewery,720 Main Street,Frisco,Colorado,39.5765,-106.094,
Backwater Brewing,1429 West Service Drive,Winona,Minnesota,44.0486,-91.6774,
Bad Frog Brewery Company,,Rose City,Michigan,44.4214,-84.1167,
Ballast Point Brewing,5401 Linda Vista Road #406,San Diego,California,32.7668,-117.195,http://www.ballastpoint.com/
Baltimore-Washington Beer Works,P.O. Box 9829,Baltimore,Maryland,39.42,-76.54,http://www.ravenbeer.com/home.html
Bandana Brewery,,Mankato,Minnesota,44.1636,-93.9994,
Bar Harbor Brewing Company,8 Mt. Desert Street,Bar Harbor,Maine,44.3875,-68.2046,http://www.barharborbrewing.com/
Bard's Tale Beer Company,211 NW Ward Road,Lee's Summit,Missouri,38.9169,-94.3943,
Barley Brothers Brewery and Grill,1425 McCulloch Boulevard,Lake Havasu City,Arizona,34.4702,-114.35,
Barley Creek Brewing,RR 1 Box 185,Tannersville,Pennsylvania,41.0523,-75.3354,http://www.barleycreek.com/
Barley Island Brewing,639 Conner Street,Noblesville,Indiana,40.0453,-86.0155,
Barley John's Brewpub,781 Old Highway 8 SW,New Brighton,Minnesota,45.036,-93.1984,
Barley's #2 Smokehouse and Brewpub,1130 Dublin Road,Columbus,Ohio,39.9745,-83.049,
Barley's Brewing #1,467 North High Street,Columbus,Ohio,39.9719,-83.0027,
Barley's Casino & Brewing Company,4500 East Sunset Road #30,Henderson,Nevada,36.0721,-115.075,
Baron Brewing Company,1605 S 93rd Building E Unit L,Seattle,Washington,47.5203,-122.312,http://www.baronbeer.com/
Barrel House Brewing Co.,544B W. Liberty St.,Cincinnati,Ohio,39.1136,-84.526,http://www.barrelhouse.com
Basil T's Brew Pub and Italian Grill,1171 Hooper Avenue,Toms River,New Jersey,39.9767,-74.1829,
Bavarian Barbarian Brewing Company,429 W. 3rd St,Williamsport,Pennsylvania,41.238,-77.0103,http://www.bavarianbarbarian.com
Bayern Brewing,1507 Montana Street,Missoula,Montana,46.8726,-114.02,
"BBC Brewing Co., LLC",636 East Main Street,Louisville,Kentucky,38.2546,-85.7401,http://www.bluegrassbrew.com
Beach Brewing,,Orlando,Florida,28.5383,-81.3792,
Beach Chalet Brewery,1000 Great Highway,San Francisco,California,37.7694,-122.51,
Bear Republic Brewery,345 Healdsburg Avenue,Healdsburg,California,38.6112,-122.871,http://www.bearrepublic.com/
Beermann's Beerwerks BrewPub,,Lincoln,California,38.8916,-121.293,
Belfast Bay Brewing Company,100 Searsport Avenue,Belfast,Maine,44.4295,-68.975,http://www.belfastbaybrewing.com/
Bell's Brewery Inc.,8938 Krum Ave.,Galesburg,Michigan,42.2843,-85.4538,http://www.bellsbeer.com/
Bellows Brew Crew,,Watertown,Wisconsin,43.1947,-88.729,
Bent River Brewing,1413 Fifth Avenue,Moline,Illinois,41.5059,-90.5171,
Bethlehem Brew Works,569 Main St,Bethlehem,Pennsylvania,40.622,-75.382,http://www.thebrewworks.com/bethlehem-brew-works
Bibiana Brewing,,Urbana,Illinois,40.1106,-88.2073,
Big Bang Brewery (Closed),650 Fifth Street #403,San Francisco,California,37.7756,-122.398,
Big Boss Brewing Company,1249-A Wicker Drive,Raleigh,North Carolina,35.8104,-78.6179,http://www.bigbossbrewing.com
Big Buck Brewery,550 South Wisconsin Avenue,Gaylord,Michigan,45.0223,-84.6826,http://www.bigbuck.com/gaylord.html
Big Buck Brewery and Steakhouse #2,,Grand Rapids,Michigan,42.9634,-85.6681,
Big Dog's Brewing Company,4543 North Rancho Road,Las Vegas,Nevada,36.2426,-115.236,
Big Hole Brewing,401 East Main Street,Belgrade,Montana,45.7736,-111.172,
Big Horn Brewing @ The RAM 2,700 North Milwaukee Avenue,Wheeling,Illinois,42.1511,-87.9144,
Big Sky Brewing,5417 Trumpeter Way,Missoula,Montana,46.9223,-114.073,
Big Time Brewing,4133 University Way NE,Seattle,Washington,47.6576,-122.313,http://www.bigtimebrewery.com/
Bill's Tavern & Brewhouse,188 North Hemlock,Cannon Beach,Oregon,45.8981,-123.961,
Bison Brewing,2598 Telegraph Avenue,Berkeley,California,37.8634,-122.259,
"BJ's Pizza, Grill, and Brewery - Jantzen Beach",12105 North Center Avenue,Portland,Oregon,45.5235,-122.676,
BJ's Restaurant and Brewery,600 Brea Mall,Brea,California,33.9132,-117.889,http://www.bjsrestaurants.com/beer.aspx
Black Toad Brewing Company,Chicago IL 60612,Chicago,Illinois,41.8817,-87.6926,
Blacksburg Brewing Company,P.O. Box 315,Blacksburg,Virginia,37.23,-80.41,http://www.blacksburgbrewing.com/
Blackstone Restaurant & Brewery,1918 West End Avenue,Nashville,Tennessee,36.152,-86.7989,
Blicks Brewing,,Colorado Springs,Colorado,38.8339,-104.821,
Blitz-Weinhard Brewing,Portland OR 97209,Portland,Oregon,45.5325,-122.686,
Bloomington Brewing Company,"1795 E 10th St,",Bloomington,Indiana,39.1716,-86.5104,http://bbc.bloomington.com
BluCreek Brewing Company,2605 South Stoughton Road,Madison,Wisconsin,43.0598,-89.3085,
Blue Cat Brew Pub,113 18th Street,Rock Island,Illinois,41.5118,-90.5746,
Blue Corn Caf and Brewery - Albuquerque,,Albuquerque,New Mexico,35.0845,-106.651,
Blue Point Brewing,161 River Avenue,Patchogue,New York,40.7591,-73.0215,http://www.bluepointbrewing.com/
Blue Ridge Brewing,217 North Main Street,Greenville,South Carolina,34.8531,-82.3983,http://www.blueridgebrewing.com/
"Bluegrass Brewing Company, Inc.",3929 Shelbyville Rd.,Louisville,Kentucky,38.253,-85.654,http://www.bbcbrew.com
Bobcat Cafe & Brewery,4 Main Street,Bristol,Vermont,44.1332,-73.0784,http://www.bobcatcafe.com/
Boiler Room Brewpub,2100 Casino Drive,Laughlin,Nevada,35.1584,-114.573,
Bonaventure Brewing Co,404 South Figueroa Street #418,Los Angeles,California,34.0532,-118.256,http://www.bonaventurebrewing.com/
Bonfire Brewery,,Northville,Michigan,42.4311,-83.4833,
Bootleggers Steakhouse and Brewery,,Bakersfield,California,35.3733,-119.019,
Boscos Memphis Brewing,,Germantown,Tennessee,35.0868,-89.8101,
Boston Beer Company,30 Germania Street,Boston,Massachusetts,42.3144,-71.1034,http://www.samueladams.com/
Boston Beer Works,61 Brookline Avenue,Boston,Massachusetts,42.347,-71.0989,
Bottom's Up Brewing,402 West Pine Street,Pinedale,Wyoming,42.8666,-109.866,
Boulder Beer Company,2880 Wilderness Place,Boulder,Colorado,40.0267,-105.248,http://boulderbeer.com/
Boulevard Brewing Company,2501 Southwest Boulevard,Kansas City,Missouri,39.0821,-94.5965,http://www.blvdbeer.com/
Boundary Bay Brewery and Bistro,1107 Railroad Avenue,Bellingham,Washington,48.7475,-122.481,
Brauhaus Brew Hall,111 Main Street,Lucan,Minnesota,44.4105,-95.4107,http://www.braubrothersbrewing.com/
Breckenridge BBQ of Omaha,,Omaha,Nebraska,41.254,-95.9993,
Breckenridge Brewery,471 Kalamath Street,Denver,Colorado,39.7236,-105.001,http://www.breckbrew.com/
Brew Kettle Taproom & Smokehouse BOP,8377 Pearl Road,Strongsville,Ohio,41.347,-81.8226,
Brew Makers,,Mountain View,California,37.3861,-122.084,
Brewer's Art,1106 N. Charles St.,Baltimore,Maryland,39.3028,-76.6164,http://www.belgianbeer.com
Brewery at Martha's Vineyard,,Oak Bluffs,Massachusetts,41.4548,-70.565,
Brewery Creek Brewing,23 Commerce Street,Mineral Point,Wisconsin,42.8606,-90.1772,http://www.brewerycreek.com/
Brewery Ommegang,656 County Highway 33,Cooperstown,New York,42.6818,-74.9255,
Brewmasters Restaurant and Brewery South,,Kenosha,Wisconsin,42.5847,-87.8212,
Brewpub-on-the-Green,,Fremont,California,37.5483,-121.989,
Bricktown Brewery,299 Main Street,Dubuque,Iowa,42.4965,-90.6652,
BridgePort Brewing,1313 NW Marshall Street,Portland,Oregon,45.5311,-122.685,http://www.bridgeportbrew.com/
Brimstone Brewing,4607 Wedgewood Boulevard,Frederick,Maryland,39.3628,-77.4265,
Bristol Brewing,1647 South Tejon Street,Colorado Springs,Colorado,38.8097,-104.826,
Broad Ripple Brewing,842 East 65th Street,Indianapolis,Indiana,39.8735,-86.1427,
Brooklyn Brewery,79 North Eleventh Street,Brooklyn,New York,40.7215,-73.9575,http://www.brooklynbrewery.com/
Brown Street Brewery,16 North Brown Street,Rhinelander,Wisconsin,45.638,-89.4127,
Brownings,401 East Main St.,Louisville,Kentucky,38.2554,-85.7441,http://www.diningonmain.com/Brownings/Brownings_home.html
BT McClintic Beer Company,,Beloit,Wisconsin,42.5083,-89.0318,
Bube's Brewery,102 North Market Street,Mount Joy,Pennsylvania,40.1119,-76.5031,http://www.bubesbrewery.com
Bull & Bush Pub & Brewery,4700 Cherry Creek Drive South,Denver,Colorado,39.705,-104.936,
Bulldog Brewing,,Fresno,California,36.7477,-119.772,
Bullfrog Brewery,231 W. Fourth Street,Williamsport,Pennsylvania,41.2404,-77.0057,http://www.bullfrogbrewery.com
Butte Creek Brewing,945 West Second Street,Chico,California,39.7245,-121.848,
Butterfield Brewing #1,,Fresno,California,36.7477,-119.772,
Buzzards Bay Brewing Inc.,98 Horseneck Rd,Westport,Massachusetts,41.5713,-71.0571,http://www.buzzardsbrew.com/
C.B. & Potts of Cheyenne,1650 Dell Range Boulevard,Cheyenne,Wyoming,41.1607,-104.802,
C.H. Evans Brewing Company,19 Quackenbush Square,Albany,New York,42.6542,-73.7481,http://www.evansale.com/
Caldera Brewing,540 Clover Lane,Ashland,Oregon,42.1844,-122.663,http://www.calderabrewing.com
Calhoun's Microbrewery,6515 Kingston Pike,Knoxville,Tennessee,35.932,-84.012,
California Cider Company,,San Rafael,California,37.9735,-122.531,
Callahan's Pub and Brewery,8280-A Mira Mesa Boulevard,San Diego,California,32.9147,-117.146,
Cambridge Brewing,1 Kendall Square #100,Cambridge,Massachusetts,42.3664,-71.0911,http://www.cambrew.com/
Cape Ann Brewing,27 Commercial Street,Gloucester,Massachusetts,42.6102,-70.6664,
Capital Brewery,7734 Terrace Avenue,Middleton,Wisconsin,43.0949,-89.5163,http://www.capital-brewery.com/
Capital City Brewing Company,"1100 New York Ave, NW",Washington,District of Columbia,38.8999,-77.0272,http://www.capcitybrew.com
Capital City Brewing Company,"1100 New York Ave, NW",Washington,District of Columbia,43.8042,-91.2526,http://www.capcitybrew.com
Capitol City Brewing #4,2700 South Quincy Street,Arlington,Virginia,38.8411,-77.0869,
Captain Lawrence Brewing Company,99 Castleton Street,Pleasantville,New York,41.126,-73.7896,http://www.captainlawrencebrewing.com/
Carlyle Brewing,215 East State Street,Rockford,Illinois,42.2689,-89.0907,
Carmel Brewing,,Salinas,California,36.6777,-121.656,
Carolina Beer Company,110 Barley Park Lane,Mooresville,North Carolina,35.6231,-80.8011,http://www.carolinabeer.com/
Carolina Brewery,460 West Franklin Street,Chapel Hill,North Carolina,35.9103,-79.0632,
Carver Brewing Co.,1022 Main Ave.,Durango,Colorado,37.2748,-107.88,http://www.carverbrewing.com/_/home.htm
Castle Springs Brewery,,Moultonborough,New Hampshire,43.7548,-71.3967,
Catamount Brewing,,White River Junction,Vermont,43.649,-72.3193,
Cedar Brewing,,Cedar Rapids,Iowa,41.9625,-91.6918,
Celis Brewery,,Austin,Texas,30.2672,-97.7431,
Central Waters Brewing Company,351 Allen Street,Amherst,Wisconsin,44.4419,-89.2797,http://www.centralwaters.com/
Chama River Brewing,4939 Pan American Freeway NE,Albuquerque,New Mexico,35.14,-106.6,
Charlie and Jake's Brewery and BBQ,6300 North Wickham Road #137,Melbourne,Florida,28.2126,-80.6734,
Chelsea Brewing Company,"Chelsea Piers, Pier 59",New York,New York,40.7457,-74.0086,http://chelseabrewingco.com/
Cherryland Brewing,,Sturgeon Bay,Wisconsin,44.8342,-87.377,
Cheshire Cat Brewery,7803 Ralston Road,Arvada,Colorado,39.8023,-105.084,
Chicago Brewing,2201 South Fort Apache Road,Las Vegas,Nevada,36.1476,-115.298,
Cigar City Brewing,3924 West Spruce Street Suite A,Tampa,Florida,27.9587,-82.5093,http://cigarcitybeer.com/
Circle V Brewing,,Indianapolis,Indiana,39.7684,-86.158,
CJ's Brewery & Grill,,La Jolla,California,33.8575,-117.876,
Cleveland ChopHouse and Brewery,824 West St.Clair Avenue,Cleveland,Ohio,41.4995,-81.6994,
Climax Brewing Copmany,112 Valley Road,Roselle Park,New Jersey,40.6598,-74.283,http://www.climaxbrewing.com/
Clipper City Brewing Co.,4615-B Hollins Ferry Road,Baltimore,Maryland,39.2308,-76.6751,http://www.ccbeer.com/
Coach's Norman,102 West Main,Norman,Oklahoma,35.2205,-97.4439,
Coast Brewing,,Biloxi,Mississippi,30.396,-88.8853,
Coast Range Brewing,7050 Monterey Street,Gilroy,California,37.0013,-121.566,
Coastal Fog Brewing,,Concord,California,37.978,-122.031,
Coeur d'Alene Brewing Company,209 Lakeside Avenue,Coeur d'Alene,Idaho,47.6745,-116.784,http://www.cdabrewing.com/
Cold Spring Brewing,219 Red River Avenue North,Cold Spring,Minnesota,45.4582,-94.4291,http://www.coldspringbrewery.com/
Columbia Bay Brewery Restaurant and Pub,,Lake Villa,Illinois,42.417,-88.074,
Commonwealth Brewing #1,,Boston,Massachusetts,42.3584,-71.0598,
Cooper's Cave Ale Company,2 Sagamore Street,Glens Falls,New York,43.3177,-73.64,http://www.cooperscaveale.com/
Cooperstown Brewing Company,"River Street, P.O. Box 276",Milford,New York,42.5893,-74.9403,http://www.cooperstownbrewing.com/
Coors Brewing - Golden Brewery,311 Tenth Street,Golden,Colorado,39.7599,-105.219,http://www.coors.com
Copper Dragon Brewing,,Carbondale,Illinois,37.7273,-89.2168,
Copper Eagle Brewing,,Grand Island,Nebraska,40.9222,-98.3581,
Copper Eagle Brewing,,Grand Island,Nebraska,47.9454,-122.304,
Copper Kettle Brewery,339 Fairground Rd,Millmont,Pennsylvania,40.8942,-77.1971,http://www.ckbrewery.com/
Corner Pub,100 Main Street,Reedsburg,Wisconsin,43.5323,-90.0099,
Coronado Brewing Company,170 Orange Avenue,Coronado,California,32.6976,-117.173,http://www.coronadobrewingcompany.com/
Costal Extreme Brewing Company,307 Oliphant Lane,Middletown,Rhode Island,41.537,-71.2796,http://www.newportstorm.com/
Court Avenue Brewing,309 Court Avenue,Des Moines,Iowa,41.5855,-93.621,
Courthouse Pub,1001 South Eighth Street,Manitowoc,Wisconsin,44.0886,-87.6576,
Crabby Larry's Brewpub Steak & Crab House,237 West Butler Avenue,Chalfont,Pennsylvania,40.2795,-75.2143,http://www.crabbylarrys.com/
Crabtree Brewery,625 3rd St. #D,Greeley,Colorado,40.4313,-104.688,http://www.crabtreebrewing.com
Craftsman Brewing,1260 Lincoln Avenue #100,Pasadena,California,34.1696,-118.159,
Crane River Brewpub and Cafe,,Lincoln,Nebraska,40.8069,-96.6817,
Crescent City Brewhouse,527 Decatur Street,New Orleans,Louisiana,29.9558,-90.0641,
Crested Butte Brewery &  Pub,226 Elk Avenue,Crested Butte,Colorado,38.8698,-106.987,
Cricket Hill,24 Kulick Road,Fairfield,New Jersey,40.8726,-74.2964,http://www.crickethillbrewery.com
Crooked River Brewing,,Cleveland,Ohio,41.4995,-81.6954,
Crooked Waters Brewing,,Peoria,Illinois,40.6936,-89.589,
Cugino Brewing Company,1501 East Wilson,Batavia,Illinois,41.8539,-88.2776,
Cumberland Brewery,1576 Bardstown Rd,Louisville,Kentucky,38.2309,-85.7055,
D.L. Geary Brewing Company,38 Evergreen Drive,Portland,Maine,43.7076,-70.3149,http://www.gearybrewing.com
Dark Horse Brewing Co.,511 S. Kalamazoo Ave.,Marshall,Michigan,42.2667,-84.9641,http://www.darkhorsebrewery.com/
Day Brewing,,Marrero,Louisiana,29.8994,-90.1004,
Deep Creek Brewing,,McHenry,Maryland,39.5584,-79.3528,
DeGroen's Grill,,Baltimore,Maryland,39.2904,-76.6122,
Del Mar Stuft Pizza and Brewing,,San Diego,California,32.7153,-117.157,
Delafield Brewhaus,3832 Hillside Drive,Delafield,Wisconsin,43.0481,-88.3553,
Dempsey's Restaurant & Brewery,50 East Washington Street,Petaluma,California,38.2362,-122.64,
Denmark Brewing,,Denmark,Wisconsin,44.3478,-87.8273,
Denver ChopHouse and Brewery,1735 19th Street #100,Denver,Colorado,39.7553,-104.997,
Deschutes Brewery,901 SW Simpson Avenue,Bend,Oregon,44.0474,-121.323,http://www.deschutesbrewery.com/
Devil Mountain Brewing,,Cincinnati,Ohio,39.1361,-84.5031,
Diamond Bear Brewing Co.,323-C Cross Street,Little Rock,Arkansas,34.7473,-92.2839,http://www.diamondbear.com/
Diamond Knot Brewery & Alehouse,621 Front Street,Mukilteo,Washington,47.9485,-122.305,http://www.diamondknot.com/
Diamondback Brewery,,Cleveland,Ohio,41.4995,-81.6954,
Dick's Brewing,5945 Prather Road,Centralia,Washington,46.7713,-123.007,
Dillon Dam Brewery,100 Little Dam Road,Dillon,Colorado,39.6282,-106.059,
